sum_consumption,record_date,week,month,day
4205985.38726,2015-07-16,3,7,16
4099443.75353,2015-07-17,4,7,17
3966240.2672,2015-07-18,5,7,18
3868087.64237,2015-07-19,6,7,19
4100012.58562,2015-07-20,0,7,20
4253488.85178,2015-07-21,1,7,21
4085917.99701,2015-07-22,2,7,22
4108443.86039,2015-07-23,3,7,23
4189803.68622,2015-07-24,4,7,24
4049552.43947,2015-07-25,5,7,25
3854176.46922,2015-07-26,6,7,26
4183554.02709,2015-07-27,0,7,27
4259753.91627,2015-07-28,1,7,28
4243756.79253,2015-07-29,2,7,29
4221938.1568,2015-07-30,3,7,30
4145465.68512,2015-07-31,4,7,31
3672885.12904,2015-08-01,5,8,1
3555605.2056,2015-08-02,6,8,2
4036766.40607,2015-08-03,0,8,3
4161177.73508,2015-08-04,1,8,4
4202236.20588,2015-08-05,2,8,5
4317442.73629,2015-08-06,3,8,6
4280756.23953,2015-08-07,4,8,7
4131158.6732,2015-08-08,5,8,8
3860314.7385,2015-08-09,6,8,9
4039240.43725,2015-08-10,0,8,10
3906881.22623,2015-08-11,1,8,11
4046890.63053,2015-08-12,2,8,12
4155756.32422,2015-08-13,3,8,13
4162722.25406,2015-08-14,4,8,14
4043391.54716,2015-08-15,5,8,15
3893174.81273,2015-08-16,6,8,16
4122913.69105,2015-08-17,0,8,17
3988764.06511,2015-08-18,1,8,18
3903465.50152,2015-08-19,2,8,19
3880090.55991,2015-08-20,3,8,20
3320371.93648,2015-08-21,4,8,21
3886377.87031,2015-08-22,5,8,22
3714552.52501,2015-08-23,6,8,23
3782284.21833,2015-08-24,0,8,24
3899874.34509,2015-08-25,1,8,25
3988047.4837,2015-08-26,2,8,26
3987804.88094,2015-08-27,3,8,27
3601332.20192,2015-08-28,4,8,28
3854783.71639,2015-08-29,5,8,29
3826493.25342,2015-08-30,6,8,30
4060423.39799,2015-08-31,0,8,31
4011701.27973,2015-09-01,1,9,1
3881416.0844,2015-09-02,2,9,2
3304725.47105,2015-09-03,3,9,3
3579695.31155,2015-09-04,4,9,4
3770057.34111,2015-09-05,5,9,5
3833215.20611,2015-09-06,6,9,6
3986763.71939,2015-09-07,0,9,7
3673134.60934,2015-09-08,1,9,8
3889081.0539,2015-09-09,2,9,9
3903920.75547,2015-09-10,3,9,10
3891095.2199,2015-09-11,4,9,11
3672466.42478,2015-09-12,5,9,12
3542738.20107,2015-09-13,6,9,13
3720619.61224,2015-09-14,0,9,14
3830680.43776,2015-09-15,1,9,15
3752061.07551,2015-09-16,2,9,16
3939026.22716,2015-09-17,3,9,17
3955966.1207,2015-09-18,4,9,18
3831621.82682,2015-09-19,5,9,19
3682825.67079,2015-09-20,6,9,20
3933928.15334,2015-09-21,0,9,21
4008301.76322,2015-09-22,1,9,22
4005620.28127,2015-09-23,2,9,23
4008037.04975,2015-09-24,3,9,24
4010615.01017,2015-09-25,4,9,25
3505202.81654,2015-09-26,5,9,26
3482332.14657,2015-09-27,6,9,27
3858264.8933,2015-09-28,0,9,28
3981316.69676,2015-09-29,1,9,29
4513386.92695,2015-09-30,2,9,30
2993438.91998,2015-10-01,3,10,1
2902820.85133,2015-10-02,4,10,2
2850626.72527,2015-10-03,5,10,3
3072855.11484,2015-10-04,6,10,4
3458035.11223,2015-10-05,0,10,5
3637846.33809,2015-10-06,1,10,6
3686972.37986,2015-10-07,2,10,7
3983906.84339,2015-10-08,3,10,8
3761136.13292,2015-10-09,4,10,9
3716101.97096,2015-10-10,5,10,10
3311719.23829,2015-10-11,6,10,11
3673610.9631,2015-10-12,0,10,12
3699816.36852,2015-10-13,1,10,13
3748379.41232,2015-10-14,2,10,14
3531588.33414,2015-10-15,3,10,15
3796392.8803,2015-10-16,4,10,16
3820052.08321,2015-10-17,5,10,17
3592374.58547,2015-10-18,6,10,18
3720565.27374,2015-10-19,0,10,19
3602234.25781,2015-10-20,1,10,20
3910246.9099,2015-10-21,2,10,21
3920217.70023,2015-10-22,3,10,22
3894725.54756,2015-10-23,4,10,23
3965452.99337,2015-10-24,5,10,24
3593200.3091,2015-10-25,6,10,25
3756770.67412,2015-10-26,0,10,26
3920863.69645,2015-10-27,1,10,27
3834953.93069,2015-10-28,2,10,28
3900453.23098,2015-10-29,3,10,29
3830953.89892,2015-10-30,4,10,30
3268088.5773,2015-10-31,5,10,31
3531897.88448,2015-11-01,6,11,1
3602457.46015,2015-11-02,0,11,2
3798313.75375,2015-11-03,1,11,3
3905831.21868,2015-11-04,2,11,4
3914777.96576,2015-11-05,3,11,5
3906786.77726,2015-11-06,4,11,6
3845183.11072,2015-11-07,5,11,7
3574166.03124,2015-11-08,6,11,8
3362465.77847,2015-11-09,0,11,9
3333201.41247,2015-11-10,1,11,10
3441275.85279,2015-11-11,2,11,11
3391954.89995,2015-11-12,3,11,12
3502904.02474,2015-11-13,4,11,13
3417651.73642,2015-11-14,5,11,14
3473795.23431,2015-11-15,6,11,15
3699154.16321,2015-11-16,0,11,16
3843734.62582,2015-11-17,1,11,17
3838048.89348,2015-11-18,2,11,18
3890071.20125,2015-11-19,3,11,19
3888560.23049,2015-11-20,4,11,20
3846531.78473,2015-11-21,5,11,21
3299104.88605,2015-11-22,6,11,22
3939581.67455,2015-11-23,0,11,23
3989503.36955,2015-11-24,1,11,24
3548782.36422,2015-11-25,2,11,25
4073707.91698,2015-11-26,3,11,26
4075111.18141,2015-11-27,4,11,27
3919340.50137,2015-11-28,5,11,28
3644806.12561,2015-11-29,6,11,29
3777531.24881,2015-11-30,0,11,30
3878096.7019,2015-12-01,1,12,1
3987434.86109,2015-12-02,2,12,2
4000574.32627,2015-12-03,3,12,3
3835450.65108,2015-12-04,4,12,4
3698154.57976,2015-12-05,5,12,5
3800662.98346,2015-12-06,6,12,6
3958595.45755,2015-12-07,0,12,7
4115641.6852,2015-12-08,1,12,8
4041055.01427,2015-12-09,2,12,9
4202715.35694,2015-12-10,3,12,10
4164783.44916,2015-12-11,4,12,11
4018382.53207,2015-12-12,5,12,12
3923581.27995,2015-12-13,6,12,13
4079883.31427,2015-12-14,0,12,14
3284694.21069,2015-12-15,1,12,15
4213494.87311,2015-12-16,2,12,16
4243229.18643,2015-12-17,3,12,17
4264486.26029,2015-12-18,4,12,18
4090887.21301,2015-12-19,5,12,19
4000250.36335,2015-12-20,6,12,20
4137434.47573,2015-12-21,0,12,21
3944100.95401,2015-12-22,1,12,22
4116264.37052,2015-12-23,2,12,23
4254336.46268,2015-12-24,3,12,24
4240556.19735,2015-12-25,4,12,25
3881176.52213,2015-12-26,5,12,26
3947065.42031,2015-12-27,6,12,27
4041625.04811,2015-12-28,0,12,28
4191306.68601,2015-12-29,1,12,29
4129113.7085,2015-12-30,2,12,30
3962120.97127,2015-12-31,3,12,31
3380234.4719,2016-01-01,4,1,1
3503441.3946,2016-01-02,5,1,2
3720138.11104,2016-01-03,6,1,3
4006251.70205,2016-01-04,0,1,4
4088118.45568,2016-01-05,1,1,5
4198446.34063,2016-01-06,2,1,6
4211036.12873,2016-01-07,3,1,7
4025064.45685,2016-01-08,4,1,8
4059608.46517,2016-01-09,5,1,9
3702274.88796,2016-01-10,6,1,10
4165707.62245,2016-01-11,0,1,11
4236568.99045,2016-01-12,1,1,12
3494230.22724,2016-01-13,2,1,13
4117244.83853,2016-01-14,3,1,14
3412810.14457,2016-01-15,4,1,15
3826577.20631,2016-01-16,5,1,16
3441821.15398,2016-01-17,6,1,17
3901546.22837,2016-01-18,0,1,18
3907504.56983,2016-01-19,1,1,19
3942088.46109,2016-01-20,2,1,20
4104619.56392,2016-01-21,3,1,21
3805143.30673,2016-01-22,4,1,22
3833813.88742,2016-01-23,5,1,23
3450423.29863,2016-01-24,6,1,24
3531390.90457,2016-01-25,0,1,25
3495666.17697,2016-01-26,1,1,26
3766307.11452,2016-01-27,2,1,27
3790090.65927,2016-01-28,3,1,28
3757078.30891,2016-01-29,4,1,29
3582412.02886,2016-01-30,5,1,30
3494343.16084,2016-01-31,6,1,31
3536895.10582,2016-02-01,0,2,1
3386781.31204,2016-02-02,1,2,2
3188298.07301,2016-02-03,2,2,3
3014315.46579,2016-02-04,3,2,4
2832389.56724,2016-02-05,4,2,5
2721951.11947,2016-02-06,5,2,6
2511332.38275,2016-02-07,6,2,7
2439446.16544,2016-02-08,0,2,8
2464828.34731,2016-02-09,1,2,9
2451377.74041,2016-02-10,2,2,10
2495060.53924,2016-02-11,3,2,11
2569470.00157,2016-02-12,4,2,12
2630849.68467,2016-02-13,5,2,13
2716477.40046,2016-02-14,6,2,14
2953319.50003,2016-02-15,0,2,15
3121133.09103,2016-02-16,1,2,16
3217871.43616,2016-02-17,2,2,17
3338754.47752,2016-02-18,3,2,18
3523902.92983,2016-02-19,4,2,19
3474088.4195,2016-02-20,5,2,20
3422159.69516,2016-02-21,6,2,21
3695640.2243,2016-02-22,0,2,22
3718988.36645,2016-02-23,1,2,23
3772757.12806,2016-02-24,2,2,24
3781951.77966,2016-02-25,3,2,25
3754357.74747,2016-02-26,4,2,26
3660258.46861,2016-02-27,5,2,27
3511192.06134,2016-02-28,6,2,28
3801802.74787,2016-02-29,0,2,29
3935143.07426,2016-03-01,1,3,1
4031469.67917,2016-03-02,2,3,2
4050842.82526,2016-03-03,3,3,3
4049517.25414,2016-03-04,4,3,4
3906019.62665,2016-03-05,5,3,5
3769349.22603,2016-03-06,6,3,6
4090346.87872,2016-03-07,0,3,7
4080685.51619,2016-03-08,1,3,8
4201980.30138,2016-03-09,2,3,9
3972987.68488,2016-03-10,3,3,10
4111986.36932,2016-03-11,4,3,11
3953749.04983,2016-03-12,5,3,12
3722130.63654,2016-03-13,6,3,13
4009831.70677,2016-03-14,0,3,14
4074142.37965,2016-03-15,1,3,15
3984331.73494,2016-03-16,2,3,16
3938439.78911,2016-03-17,3,3,17
4005344.13327,2016-03-18,4,3,18
3904793.49665,2016-03-19,5,3,19
3663775.86786,2016-03-20,6,3,20
3900245.75693,2016-03-21,0,3,21
4605027.94938,2016-03-22,1,3,22
4021135.66616,2016-03-23,2,3,23
4036538.25042,2016-03-24,3,3,24
4006313.2807,2016-03-25,4,3,25
3904629.37673,2016-03-26,5,3,26
3747938.26019,2016-03-27,6,3,27
3965424.79125,2016-03-28,0,3,28
4008689.02253,2016-03-29,1,3,29
4004475.82827,2016-03-30,2,3,30
3998054.92686,2016-03-31,3,3,31
4001717.00888,2016-04-01,4,4,1
4022676.5788,2016-04-02,5,4,2
3773034.69656,2016-04-03,6,4,3
3390797.13883,2016-04-04,0,4,4
3730567.28287,2016-04-05,1,4,5
4026084.20688,2016-04-06,2,4,6
3970576.37495,2016-04-07,3,4,7
4014941.68265,2016-04-08,4,4,8
3994657.8346,2016-04-09,5,4,9
3776407.73459,2016-04-10,6,4,10
3889502.4511,2016-04-11,0,4,11
3973649.10315,2016-04-12,1,4,12
4015307.97012,2016-04-13,2,4,13
4036267.33402,2016-04-14,3,4,14
4026761.98726,2016-04-15,4,4,15
3961097.67485,2016-04-16,5,4,16
3772624.79634,2016-04-17,6,4,17
3819268.51445,2016-04-18,0,4,18
3834514.11711,2016-04-19,1,4,19
3671497.62858,2016-04-20,2,4,20
3929373.12971,2016-04-21,3,4,21
3952772.43163,2016-04-22,4,4,22
4122151.55336,2016-04-23,5,4,23
3833525.53083,2016-04-24,6,4,24
3978274.81563,2016-04-25,0,4,25
4051130.36536,2016-04-26,1,4,26
3923676.33073,2016-04-27,2,4,27
3932905.29223,2016-04-28,3,4,28
3934416.92768,2016-04-29,4,4,29
3697075.09457,2016-04-30,5,4,30
3268065.58309,2016-05-01,6,5,1
3560262.55479,2016-05-02,0,5,2
3694656.76225,2016-05-03,1,5,3
3891552.34464,2016-05-04,2,5,4
4055920.55067,2016-05-05,3,5,5
4077811.26773,2016-05-06,4,5,6
3995990.91944,2016-05-07,5,5,7
3676518.36758,2016-05-08,6,5,8
3971428.074,2016-05-09,0,5,9
3950917.26105,2016-05-10,1,5,10
3990122.45282,2016-05-11,2,5,11
4106540.57927,2016-05-12,3,5,12
4084433.7754,2016-05-13,4,5,13
3998100.9912,2016-05-14,5,5,14
3829409.32231,2016-05-15,6,5,15
3947803.92111,2016-05-16,0,5,16
3936393.42944,2016-05-17,1,5,17
3899571.3387,2016-05-18,2,5,18
3894141.30947,2016-05-19,3,5,19
3947366.51714,2016-05-20,4,5,20
3902991.25941,2016-05-21,5,5,21
3708263.0407,2016-05-22,6,5,22
3968953.38258,2016-05-23,0,5,23
4037613.48572,2016-05-24,1,5,24
4091222.09422,2016-05-25,2,5,25
4189400.35886,2016-05-26,3,5,26
4101424.69536,2016-05-27,4,5,27
4028747.99416,2016-05-28,5,5,28
3870185.9854,2016-05-29,6,5,29
3884346.65456,2016-05-30,0,5,30
4002153.96575,2016-05-31,1,5,31
3977653.24676,2016-06-01,2,6,1
3979222.83052,2016-06-02,3,6,2
4040018.24338,2016-06-03,4,6,3
3907547.71622,2016-06-04,5,6,4
3775287.96302,2016-06-05,6,6,5
4013283.48032,2016-06-06,0,6,6
4151163.24304,2016-06-07,1,6,7
4052277.07521,2016-06-08,2,6,8
3688603.98935,2016-06-09,3,6,9
3831388.60054,2016-06-10,4,6,10
3929395.66927,2016-06-11,5,6,11
3997278.52568,2016-06-12,6,6,12
4160903.18829,2016-06-13,0,6,13
4220038.32025,2016-06-14,1,6,14
4301975.83612,2016-06-15,2,6,15
4159362.25887,2016-06-16,3,6,16
4259278.08211,2016-06-17,4,6,17
4207505.18274,2016-06-18,5,6,18
4076929.43837,2016-06-19,6,6,19
4095484.54553,2016-06-20,0,6,20
4325598.66443,2016-06-21,1,6,21
4361972.99593,2016-06-22,2,6,22
4433996.93664,2016-06-23,3,6,23
4411632.18444,2016-06-24,4,6,24
4135139.5737,2016-06-25,5,6,25
3966033.77949,2016-06-26,6,6,26
4155289.02413,2016-06-27,0,6,27
4235940.07224,2016-06-28,1,6,28
4757061.34029,2016-06-29,2,6,29
4846423.67558,2016-06-30,3,6,30
4317553.87815,2016-07-01,4,7,1
4109545.59753,2016-07-02,5,7,2
3933107.94712,2016-07-03,6,7,3
4089091.54725,2016-07-04,0,7,4
4163778.91528,2016-07-05,1,7,5
4123298.14973,2016-07-06,2,7,6
4464950.22616,2016-07-07,3,7,7
4502258.19524,2016-07-08,4,7,8
4352749.0046,2016-07-09,5,7,9
4159682.64484,2016-07-10,6,7,10
4436891.18784,2016-07-11,0,7,11
4484979.76447,2016-07-12,1,7,12
4435905.45072,2016-07-13,2,7,13
4534180.99245,2016-07-14,3,7,14
4584102.48819,2016-07-15,4,7,15
4295527.23417,2016-07-16,5,7,16
4200558.84961,2016-07-17,6,7,17
4527730.07546,2016-07-18,0,7,18
4632805.957,2016-07-19,1,7,19
4719906.91594,2016-07-20,2,7,20
4688308.00601,2016-07-21,3,7,21
4680651.52209,2016-07-22,4,7,22
4619222.57323,2016-07-23,5,7,23
4368529.21865,2016-07-24,6,7,24
4744803.15672,2016-07-25,0,7,25
4783413.19028,2016-07-26,1,7,26
4676558.57975,2016-07-27,2,7,27
4716426.21186,2016-07-28,3,7,28
4705360.8501,2016-07-29,4,7,29
4506328.28431,2016-07-30,5,7,30
4313147.84707,2016-07-31,6,7,31
4574726.6439,2016-08-01,0,8,1
4565888.87039,2016-08-02,1,8,2
4479758.57463,2016-08-03,2,8,3
4330828.17287,2016-08-04,3,8,4
4209250.063,2016-08-05,4,8,5
4022375.55005,2016-08-06,5,8,6
3730537.12195,2016-08-07,6,8,7
3647481.60359,2016-08-08,0,8,8
3627525.25445,2016-08-09,1,8,9
3961963.85765,2016-08-10,2,8,10
4005971.94118,2016-08-11,3,8,11
4066109.87825,2016-08-12,4,8,12
4014669.25007,2016-08-13,5,8,13
3786659.47604,2016-08-14,6,8,14
4154836.93094,2016-08-15,0,8,15
4527005.67567,2016-08-16,1,8,16
4310285.40907,2016-08-17,2,8,17
4394844.65972,2016-08-18,3,8,18
4405415.28921,2016-08-19,4,8,19
4113364.21148,2016-08-20,5,8,20
3929593.03765,2016-08-21,6,8,21
4208345.23341,2016-08-22,0,8,22
4127141.4009,2016-08-23,1,8,23
4096096.35266,2016-08-24,2,8,24
4097883.61748,2016-08-25,3,8,25
4003401.53691,2016-08-26,4,8,26
3636350.63345,2016-08-27,5,8,27
3507519.84461,2016-08-28,6,8,28
3649944.92465,2016-08-29,0,8,29
3598004.56898,2016-08-30,1,8,30
3620596.11071,2016-08-31,2,8,31
