date,max,min,1,2,3
2015/2/19,10,4,阴转小到中雨,东风,3-4级转小于3级
2015/2/20,11,8,小雨转阴,西风,3-4级
2015/2/21,11,3,阴转多云,西北风,3-4级
2015/2/22,10,4,小雨转阴,东风,小于3级
2015/2/23,12,4,阴,东风,小于3级
2015/2/24,10,6,小到中雨转小雨,东南风,3-4级
2015/2/25,10,6,阴,暂无实况,小于3级转3-4级
2015/2/26,6,3,阴转小到中雨,东风,小于3级
2015/2/27,4,2,中雨,东北风,4-5级
2015/2/28,9,1,阴转多云,西北风,3-4级
2015/3/1,13,2,晴转多云,南风,3-4级
2015/3/2,12,6,小雨转多云,东南风,3-4级转4-5级
2015/3/3,6,1,多云,东北风,4-5级转3-4级
2015/3/4,5,1,阴转雨夹雪,东风,小于3级
2015/3/5,8,2,雨夹雪转阴,东北风,小于3级
2015/3/6,12,3,多云,东南风,小于3级
2015/3/7,10,5,阴转小雨,东风,3-4级
2015/3/8,9,4,阴转多云,北风,小于3级转4-5级
2015/3/9,7,0,多云,东北风,4-5级转3-4级
2015/3/10,11,-1,多云,东南风,小于3级
2015/3/11,16,2,晴,南风,小于3级
2015/3/12,19,6,晴转多云,南风,3-4级转小于3级
2015/3/13,15,7,多云转小雨,东北风,3-4级
2015/3/14,16,8,阴,东风,3-4级
2015/3/15,17,10,阴转多云,东风,小于3级
2015/3/16,16,11,阴转中雨,东南风,小于3级
2015/3/17,14,12,大雨转小到中雨,东风,3-4级
2015/3/18,15,9,小雨转阴,北风,3-4级
2015/3/19,14,9,小雨,暂无实况,3-4级
2015/3/20,20,9,阴转多云,西风,小于3级
2015/3/21,19,8,多云,西南风,小于3级
2015/3/22,16,7,多云转阴,东风,4-5级转3-4级
2015/3/23,15,6,多云,东风,小于3级
2015/3/24,17,7,多云,东风,3-4级
2015/3/25,15,6,多云转阴,东风,3-4级
2015/3/26,16,9,小雨转多云,东风,3-4级
2015/3/27,20,7,多云转晴,东南风,3-4级转小于3级
2015/3/28,23,10,多云,南风,小于3级
2015/3/29,20,14,阴转阵雨,东风,3-4级
2015/3/30,26,16,多云,东南风,3-4级
2015/3/31,23,17,多云转阴,东风,3-4级
2015/4/1,25,14,阴转中雨,东风,5-6级转4-5级
2015/4/2,19,11,阴,西北风,3-4级转4-5级
2015/4/3,14,10,雷阵雨,东风,3-4级转小于3级
2015/4/4,13,10,小雨转小到中雨,西北风,小于3级
2015/4/5,11,7,中雨,北风,4-5级转3-4级
2015/4/6,7,4,小雨,东北风,4-5级转3-4级
2015/4/7,12,2,阴转多云,西风,小于3级
2015/4/8,15,3,多云,东风,3-4级
2015/4/9,17,6,晴转多云,东风,小于3级
2015/4/10,19,7,多云,北风,3-4级
2015/4/11,21,9,多云转雷阵雨,东风,3-4级
2015/4/12,13,7,多云转雷阵雨,西北风,5-6级
2015/4/13,19,6,阴转晴,西风,5-6级转3-4级
2015/4/14,23,10,晴,西南风,4-5级
2015/4/15,21,13,阴转多云,西南风,3-4级
2015/4/16,22,10,晴转多云,东南风,4-5级
2015/4/17,26,15,阴,东南风,4-5级转3-4级
2015/4/18,24,16,阴转雷阵雨,北风,3-4级
2015/4/19,17,10,中雨转阵雨,北风,4-5级转3-4级
2015/4/20,20,8,多云,暂无实况,小于3级
2015/4/21,24,8,多云转晴,南风,小于3级
2015/4/22,26,12,多云,东南风,3-4级
2015/4/23,27,13,多云,东南风,小于3级
2015/4/24,27,13,多云转晴,西南风,小于3级
2015/4/25,28,14,晴,暂无实况,小于3级
2015/4/26,28,15,晴转多云,东南风,4-5级
2015/4/27,29,18,阴转雷阵雨,南风,小于3级
2015/4/28,22,17,雷阵雨转多云,暂无实况,3-4级
2015/4/29,25,14,多云,西风,小于3级
2015/4/30,27,14,晴转多云,东风,小于3级
2015/5/1,20,16,小到中雨转中到大雨,东风,小于3级
2015/5/2,25,15,阴转多云,西北风,3-4级
2015/5/3,24,15,多云,暂无实况,小于3级
2015/5/4,24,12,阴转多云,东南风,3-4级转小于3级
2015/5/5,23,15,阴,东南风,3-4级
2015/5/6,27,16,多云,东南风,小于3级
2015/5/7,27,17,多云,北风,3-4级
2015/5/8,26,15,多云,西南风,3-4级
2015/5/9,26,15,多云,西南风,3-4级
2015/5/10,26,15,多云,西南风,3-4级
2015/5/11,26,15,多云,西南风,3-4级
2015/5/12,26,15,多云,西南风,3-4级
2015/5/13,29,20,晴~多云,东南风,3-4级
2015/5/14,31,22,多云~中雨,西南风,3-4级
2015/5/15,25,16,小到中雨~阴,东北风,3-4级
2015/5/16,24,15,多云,东南风,3-4级
2015/5/17,26,18,多云~雷雨,东南风,3-4级
2015/5/18,25,17,小雨~多云,东南风,3-4级
2015/5/19,29,19,多云,东南风,3-4级
2015/5/20,27,15,多云,东南风,3-4级
2015/5/21,25,15,晴~多云,东南风,3-4级
2015/5/22,28,18,晴,东北风,3-4级
2015/5/23,26,18,阴~,东北风,3-4级
2015/5/24,27,19,多云,东北风,3-4级
2015/5/25,29,19,晴~,东北风,3-4级
2015/5/26,27,20,多云~,东南风,3-4级
2015/5/27,22,17,阵雨,东北风,3-4级
2015/5/28,27,20,阴,东南风,3-4级
2015/5/29,23,20,中到大雨~中雨,东北风,3-4级
2015/5/30,26,19,多云~晴,东北风,3-4级
2015/5/31,27,19,多云,东南风,3-4级
2015/6/1,31,23,多云~雷雨,东南风,3-4级
2015/6/2,25,19,暴雨~小到中雨,东北风,3-4级
2015/6/3,26,16,阴~晴,东南风,3-4级
2015/6/4,26,19,多云,西北风,3-4级
2015/6/5,28,19,晴,西南风,3-4级
2015/6/6,32,21,多云,东南风,3-4级
2015/6/7,27,21,雷雨~大雨,东北风,3-4级
2015/6/8,27,20,阴,西南风,3-4级
2015/6/9,29,22,阴,东南风,3-4级
2015/6/10,28,21,阴~多云,东南风,3-4级
2015/6/11,33,22,多云,西南风,3-4级
2015/6/12,34,23,晴~多云,西南风,3-4级
2015/6/13,33,25,多云,西南风,3-4级
2015/6/14,32,23,多云~阴,东北风,3-4级
2015/6/15,28,21,雷雨,东南风,3-4级
2015/6/16,21,18,大雨~暴雨,东北风,3-4级
2015/6/17,22,18,小雨~阴,东北风,3-4级
2015/6/18,28,19,多云,东南风,3-4级
2015/6/19,29,21,多云,东南风,3-4级
2015/6/20,30,21,多云~阴,东北风,3-4级
2015/6/21,26,21,阵雨,东南风,3-4级
2015/6/22,26,21,阴,东南风,3-4级
2015/6/23,25,23,阵雨~小雨,东南风,3-4级
2015/6/24,26,22,小雨~小到中雨,东北风,3-4级
2015/6/25,30,23,阴~中雨,西北风,3-4级
2015/6/26,26,21,雷雨~大雨,东南风,3-4级
2015/6/27,23,19,暴雨,东南风,3-4级
2015/6/28,24,21,中到大雨~小雨,东南风,3-4级
2015/6/29,24,21,大雨~雷雨,东南风,3-4级
2015/6/30,27,21,中到大雨~小雨,东南风,3-4级
2015/7/1,29,21,多云~晴,西南风,3-4级
2015/7/2,32,23,多云,西南风,3-4级
2015/7/3,30,21,多云,东南风,3-4级
2015/7/4,28,19,阴,东南风,3-4级
2015/7/5,28,19,阴,东南风,3-4级
2015/7/6,22,18,小雨~中到大雨,东北风,3-4级
2015/7/7,24,19,雷雨,东北风,3-4级
2015/7/8,24,20,小到中雨~小雨,东北风,3-4级
2015/7/9,27,22,阴,东北风,3-4级
2015/7/10,31,24,阴~阵雨,东北风,3-4级
2015/7/11,27,23,大雨~大到暴雨,东北风,3-4级
2015/7/12,29,23,阴~多云,东南风,3-4级
2015/7/13,35,25,多云,东南风,3-4级
2015/7/14,35,25,晴~多云,东南风,3-4级
2015/7/15,32,24,多云,东北风,3-4级
2015/7/16,29,23,雷阵雨~小到中雨,东南风,3-4级
2015/7/17,25,22,中雨,东南风,3-4级
2015/7/18,27,23,雷阵雨,东南风,3-4级
2015/7/19,26,24,大雨~小雨,东南风,3-4级
2015/7/20,28,24,阴,东南风,3-4级
2015/7/21,30,24,多云,东南风,3-4级
2015/7/22,31,25,多云~阴,东南风,3-4级
2015/7/23,31,25,雷阵雨,东南风,3-4级
2015/7/24,28,24,中雨,西南风,3-4级
2015/7/25,29,25,中雨~小雨,东南风,3-4级
2015/7/26,32,26,雷阵雨~多云,西南风,3-4级
2015/7/27,35,27,多云,西南风,3-4级
2015/7/28,36,27,多云~晴,西南风,3-4级
2015/7/29,37,28,多云,西南风,3-4级
2015/7/30,35,27,晴~多云,西南风,3-4级
2015/7/31,35,27,晴,西北风,3-4级
2015/8/1,35,27,阴~多云,东南风,3-4级
2015/8/2,37,28,晴,西南风,3-4级
2015/8/3,37,28,晴,西南风,3-4级
2015/8/4,37,28,晴,西南风,3-4级
2015/8/5,37,28,多云,东南风,3-4级
2015/8/6,35,26,多云,东南风,3-4级
2015/8/7,34,26,多云,东南风,3-4级
2015/8/8,33,26,多云~雷阵雨,东北风,3-4级
2015/8/9,30,25,雷阵雨~小到中雨,东北风,3-4级
2015/8/10,28,24,暴雨~小到中雨,东南风,3-4级
2015/8/11,28,23,阴~多云,西北风,3-4级
2015/8/12,31,23,多云,东南风,3-4级
2015/8/13,30,23,多云,东南风,3-4级
2015/8/14,32,23,多云,东南风,3-4级
2015/8/15,30,24,阴,东南风,3-4级
2015/8/16,30,23,多云~晴,东南风,3-4级
2015/8/17,31,24,多云,东南风,3-4级
2015/8/18,30,23,多云,东北风,3-4级
2015/8/19,30,24,阴~大雨,东南风,3-4级
2015/8/20,26,23,阵雨~阴,无持续风向,3-4级
2015/8/21,29,23,阴~多云,东北风,3-4级
2015/8/22,28,21,阴,东南风,3-4级
2015/8/23,28,21,阴,东北风,3-4级
2015/8/24,24,20,小到中雨~多云,西北风,3-4级
2015/8/25,29,21,多云,东北风,3-4级
2015/8/26,30,22,多云,西南风,3-4级
2015/8/27,30,22,阵雨~多云,东南风,3-4级
2015/8/28,30,22,多云,东南风,3-4级
2015/8/29,31,22,多云,东南风,3-4级
2015/8/30,31,22,多云,东南风,3-4级
2015/8/31,30,22,多云,东北风,3-4级
2015/9/1,29,22,雷阵雨~多云,东北风,3-4级
2015/9/2,30,22,多云,西北风,3-4级
2015/9/3,29,22,多云,东南风,3-4级
2015/9/4,30,23,阴~中雨,东北风,3-4级
2015/9/5,28,22,阴~多云,西北风,3-4级
2015/9/6,28,21,多云,东北风,3-4级
2015/9/7,28,21,多云,东北风,3-4级
2015/9/8,28,20,多云,东北风,3-4级
2015/9/9,28,19,晴~多云,东北风,3-4级
2015/9/10,28,20,晴~多云,东南风,3-4级
2015/9/11,27,20,多云~阵雨,西北风,3-4级
2015/9/12,24,16,阴~多云,西北风,3-4级
2015/9/13,25,17,多云,东北风,3-4级
2015/9/14,26,20,多云,东南风,3-4级
2015/9/15,26,18,阴~多云,东南风,3-4级
2015/9/16,27,18,多云~晴,东北风,3-4级
2015/9/17,26,18,多云,西北风,3-4级
2015/9/18,27,19,多云,东北风,3-4级
2015/9/19,28,20,多云,东南风,3-4级
2015/9/20,26,19,多云~晴,东南风,3-4级
2015/9/21,27,20,多云,东南风,3-4级
2015/9/22,26,21,阵雨~小雨,西南风,3-4级
2015/9/23,26,19,多云,西北风,3-4级
2015/9/24,26,20,多云~小雨,东北风,3-4级
2015/9/25,27,19,阴~多云,东北风,3-4级
2015/9/26,28,18,多云~晴,东北风,3-4级
2015/9/27,27,18,晴,东北风,3-4级
2015/9/28,27,20,多云~阵雨,东北风,3-4级
2015/9/29,25,21,阵雨,东北风,3-4级
2015/9/30,26,19,阵雨~中到大雨,东南风,3-4级
2015/10/1,23,14,多云~晴,西北风,3-4级
2015/10/2,24,15,晴,东南风,3-4级
2015/10/3,25,17,多云,东南风,3-4级
2015/10/4,25,19,多云~小雨,西南风,3-4级
2015/10/5,23,18,阴~多云,东南风,3-4级
2015/10/6,24,19,阴~阵雨,东南风,3-4级
2015/10/7,22,18,阵雨,东北风,3-4级
2015/10/8,19,15,阴~多云,东北风,3-4级
2015/10/9,22,12,多云~晴,西南风,3-4级
2015/10/10,23,10,晴~多云,西北风,3-4级
2015/10/11,20,10,晴,东南风,3-4级
2015/10/12,22,11,晴,东南风,3-4级
2015/10/13,24,13,晴~多云,东南风,3-4级
2015/10/14,24,13,多云,东南风,3-4级
2015/10/15,25,14,晴,西南风,3-4级
2015/10/16,26,15,晴,东南风,3-4级
2015/10/17,26,14,晴,东南风,3-4级
2015/10/18,25,14,晴~多云,东北风,3-4级
2015/10/19,24,15,多云,东南风,3-4级
2015/10/20,25,16,多云,东南风,3-4级
2015/10/21,25,16,多云,东北风,3-4级
2015/10/22,25,16,多云,东北风,3-4级
2015/10/23,25,17,多云,东北风,3-4级
2015/10/24,25,17,多云,东北风,3-4级
2015/10/25,23,16,多云~阴,东南风,3-4级
2015/10/26,24,14,小雨,西北风,3-4级
2015/10/27,19,11,多云,西南风,3-4级
2015/10/28,20,12,阴,东南风,3-4级
2015/10/29,18,12,阴~多云,西北风,3-4级
2015/10/30,18,10,多云,东北风,3-4级
2015/10/31,17,11,多云~阵雨,西北风,3-4级
2015/11/1,17,8,多云~晴,西南风,3-4级
2015/11/2,18,8,晴,东南风,3-4级
2015/11/3,20,11,多云,东南风,3-4级
2015/11/4,21,14,阴,东南风,3-4级
2015/11/5,23,16,阴~小雨,东南风,3-4级
2015/11/6,26,19,阵雨,东南风,3-4级
2015/11/7,17,12,阵雨~小雨,西北风,3-4级
2015/11/8,13,9,阵雨~多云,西北风,3-4级
2015/11/9,13,8,多云,东北风,3-4级
2015/11/10,15,9,多云,东南风,3-4级
2015/11/11,16,10,阴,东北风,3-4级
2015/11/12,16,13,小雨,西南风,3-4级
2015/11/13,16,12,阴,西北风,3-4级
2015/11/14,17,10,多云,东南风,3-4级
2015/11/15,18,11,阴~中雨,东风,3-4级
2015/11/16,17,13,阴~小雨,东北风,3-4级
2015/11/17,15,12,小雨,东北风,3-4级
2015/11/18,15,11,小雨~小到中雨,东北风,3-4级
2015/11/19,14,11,小雨~阴,东北风,3-4级
2015/11/20,16,11,阴,东南风,3-4级
2015/11/21,16,13,阴~阵雨,东北风,3-4级
2015/11/22,17,14,小雨,东北风,3-4级
2015/11/23,16,10,小雨,东北风,3-4级
2015/11/24,11,3,小雨~小到中雨,西北风,3-4级
2015/11/25,5,0,多云~晴,西北风,3-4级
2015/11/26,3,-4,晴,西北风,3-4级
2015/11/27,5,-2,晴~多云,东南风,3-4级
2015/11/28,12,3,多云~阴,东北风,3-4级
2015/11/29,16,6,多云~晴,东南风,3-4级
2015/11/30,15,5,多云,东南风,3-4级
2015/12/1,17,10,多云~阴,西北风,3-4级
2015/12/2,12,3,多云~晴,西北风,3-4级
2015/12/3,10,0,晴,西北风,3-4级
2015/12/4,9,2,晴~多云,西南风,3-4级
2015/12/5,8,4,阵雨,西南风,3-4级
2015/12/6,10,2,多云,东南风,3-4级
2015/12/7,12,3,晴,东南风,3-4级
2015/12/8,13,6,多云,东南风,3-4级
2015/12/9,12,8,小雨,东北风,3-4级
2015/12/10,12,7,阴~多云,西北风,3-4级
2015/12/11,10,1,多云,东北风,3-4级
2015/12/12,10,2,晴~多云,东北风,3-4级
2015/12/13,9,3,多云~阴,西北风,3-4级
2015/12/14,10,4,阴,西北风,3-4级
2015/12/15,10,0,多云~晴,西北风,3-4级
2015/12/16,6,-3,晴,西北风,3-4级
2015/12/17,5,-3,晴,西南风,3-4级
2015/12/18,6,-2,多云,东南风,3-4级
2015/12/19,9,2,阴~小雨,东南风,3-4级
2015/12/20,8,2,小雨~阴,西北风,3-4级
2015/12/21,8,0,多云~阴,东南风,3-4级
2015/12/22,11,6,阴,西北风,3-4级
2015/12/23,10,7,阴~小雨,东北风,3-4级
2015/12/24,10,4,小雨~阴,西北风,3-4级
2015/12/25,10,2,多云~晴,西南风,3-4级
2015/12/26,14,4,晴~多云,西南风,3-4级
2015/12/27,9,1,阴~多云,东北风,3-4级
2015/12/28,6,-1,多云,东北风,3-4级
2015/12/29,9,0,多云,东南风,3-4级
2015/12/30,11,0,晴,西北风,3-4级
2015/12/31,9,-1,晴,东北风,3-4级
2016/1/1,11,2,多云,东南风,3-4级
2016/1/2,15,7,多云~阴,东南风,3-4级
2016/1/3,16,7,多云~阴,东南风,3-4级
2016/1/4,13,7,小雨~小到中雨,东北风,3-4级
2016/1/5,10,5,小雨~阴,东北风,3-4级
2016/1/6,8,3,阴~多云,西北风,3-4级
2016/1/7,6,-1,阴~多云,西北风,3-4级
2016/1/8,7,-1,晴~多云,东北风,3-4级
2016/1/9,9,-1,多云~阴,东南风,3-4级
2016/1/10,10,4,小雨,东北风,3-4级
2016/1/11,8,1,雨夹雪,东北风,3-4级
2016/1/12,3,-3,小雪~阴,西北风,3-4级
2016/1/13,4,-2,多云,西南风,3-4级
2016/1/14,7,-2,多云,西南风,3-4级
2016/1/15,8,-2,晴,东南风,3-4级
2016/1/16,10,1,多云~小雨,东北风,3-4级
2016/1/17,8,0,小雨~多云,东北风,3-4级
2016/1/18,3,-4,晴,西北风,3-4级
2016/1/19,3,-4,多云,东北风,3-4级
2016/1/20,3,-2,阴~中到大雪,东北风,3-4级
2016/1/21,2,-2,雨夹雪~阴,东北风,3-4级
2016/1/22,3,-4,小雪,东北风,3-4级
2016/1/23,-3,-10,阴~多云,西北风,3-4级
2016/1/24,-6,-10,晴,西北风,3-4级
2016/1/25,2,-8,晴,西南风,3-4级
2016/1/26,6,-4,多云~阴,西南风,3-4级
2016/1/27,8,-1,多云~小雨,东南风,3-4级
2016/1/28,6,3,小雨,东北风,3-4级
2016/1/29,5,1,小雨~阴,东北风,3-4级
2016/1/30,5,-1,阴~多云,东北风,3-4级
2016/1/31,4,-2,雨夹雪~阴,东北风,3-4级
2016/2/1,2,-5,多云,西北风,3-4级
2016/2/2,5,-4,多云,东北风,3-4级
2016/2/3,7,-3,晴~多云,东北风,3-4级
2016/2/4,7,-2,多云,东南风,3-4级
2016/2/5,9,-2,多云~阴,西北风,3-4级
2016/2/6,7,-3,晴,西北风,3-4级
2016/2/7,10,-2,多云~晴,西北风,3-4级
2016/2/8,15,2,晴,西南风,3-4级
2016/2/9,17,2,晴~多云,东南风,3-4级
2016/2/10,20,7,多云~阴,东南风,3-4级
2016/2/11,18,11,雷阵雨~阴,东南风,3-4级
2016/2/12,18,11,阵雨~中雨,东北风,3-4级
2016/2/13,14,1,小雨~阴,西北风,3-4级
2016/2/14,6,-3,阴~多云,西北风,3-4级
2016/2/15,7,-2,晴,西北风,3-4级
2016/2/16,10,0,晴,西北风,3-4级
2016/2/17,12,2,多云,东南风,3-4级
2016/2/18,16,3,晴~多云,东南风,3-4级
2016/2/19,13,3,阴,东南风,3-4级
2016/2/20,11,-1,多云~晴,东南风,3-4级
2016/2/21,10,2,阴~小到中雨,东南风,3-4级
2016/2/22,7,4,小雨~阴,东北风,3-4级
2016/2/23,11,1,阴~多云,东北风,3-4级
2016/2/24,9,0,晴,东南风,3-4级
2016/2/25,12,2,多云,东南风,3-4级
2016/2/26,17,4,多云,西南风,3-4级
2016/2/27,19,8,晴~多云,西南风,3-4级
2016/2/28,17,2,阴~多云,东北风,3-4级
2016/2/29,10,-1,晴,东北风,3-4级
2016/3/1,13,1,晴~多云,东南风,3-4级
2016/3/2,16,7,多云,东南风,3-4级
2016/3/3,16,9,阵雨~阴,东南风,3-4级
2016/3/4,19,12,阵雨~阴,东北风,3-4级
2016/3/5,21,11,阴~多云,东北风,3-4级
2016/3/6,19,10,多云,东南风,3-4级
2016/3/7,16,6,多云~小雨,东北风,3-4级
2016/3/8,9,1,中到大雨~小雨,东北风,3-4级
2016/3/9,7,1,阴,东北风,3-4级
2016/3/10,8,-1,多云~晴,东北风,3-4级
2016/3/11,11,1,多云~晴,西南风,3-4级
2016/3/12,13,4,小雨,东南风,3-4级
2016/3/13,11,4,阴~多云,东北风,3-4级
2016/3/14,13,3,多云,东南风,3-4级
2016/3/15,14,4,多云,东南风,3-4级
2016/3/16,18,6,多云~阴,东南风,3-4级
2016/3/17,15,9,小雨,东北风,3-4级
2016/3/18,18,11,阴,西北风,3-4级
2016/3/19,19,7,多云,东南风,3-4级
2016/3/20,17,6,多云,东北风,3-4级
2016/3/21,17,6,多云,东北风,3-4级
2016/3/22,16,9,多云~阴,东南风,3-4级
2016/3/23,14,4,多云,东北风,3-4级
2016/3/24,12,3,多云,东北风,3-4级
2016/3/25,15,3,多云,东北风,3-4级
2016/3/26,15,5,阴~多云,西北风,3-4级
2016/3/27,18,7,晴,西风,3-4级
2016/3/28,20,9,多云,西南风,3-4级
2016/3/29,20,13,多云,西南风,3-4级
2016/3/30,21,12,阴~小雨,西南风,3-4级
2016/3/31,20,10,多云~晴,西南风,3-4级
2016/4/1,24,14,多云,东南风,3-4级
2016/4/2,19,13,雷阵雨~中雨,东北风,3-4级
2016/4/3,14,9,阵雨~阴,东北风,3-4级
2016/4/4,18,10,多云,东北风,3-4级
2016/4/5,16,11,阵雨~中雨,东南风,3-4级
2016/4/6,14,12,中到大雨~中雨,西北风,3-4级
2016/4/7,20,10,阴~多云,西南风,3-4级
2016/4/8,23,13,多云,东南风,3-4级
2016/4/9,25,13,多云,东南风,3-4级
2016/4/10,26,11,多云,东北风,3-4级
2016/4/11,21,12,多云~阴,东南风,3-4级
2016/4/12,23,14,多云,东南风,3-4级
2016/4/13,27,16,多云,东南风,3-4级
2016/4/14,27,15,多云,东南风,3-4级
2016/4/15,25,16,多云~小到中雨,东南风,3-4级
2016/4/16,20,12,中到大雨~阴,西北风,3-4级
2016/4/17,20,11,阴,东北风,3-4级
2016/4/18,22,12,多云,西南风,3-4级
2016/4/19,24,15,多云~雷阵雨,东南风,3-4级
2016/4/20,18,14,大雨~小雨,西北风,3-4级
2016/4/21,25,15,多云,西南风,3-4级
2016/4/22,27,16,多云~雷阵雨,东南风,3-4级
2016/4/23,18,13,小雨~阴,东南风,3-4级
2016/4/24,21,13,阴~多云,东北风,3-4级
2016/4/25,20,13,阴,东南风,3-4级
2016/4/26,17,12,小雨~小到中雨,东北风,3-4级
2016/4/27,17,11,阵雨~多云,西北风,3-4级
2016/4/28,23,12,多云,西北风,3-4级
2016/4/29,27,15,晴,西南风,3-4级
2016/4/30,29,17,晴~多云,东南风,3-4级
2016/5/1,30,20,多云~雷阵雨,东南风,3-4级
2016/5/2,26,16,中到大雨~小雨,东南风,3-4级
2016/5/3,25,14,晴,西南风,3-4级
2016/5/4,30,20,多云~阴,东南风,3-4级
2016/5/5,25,20,中雨~阴,西南风,3-4级
2016/5/6,28,17,多云,东北风,3-4级
2016/5/7,19,15,阴~小雨,东北风,3-4级
2016/5/8,17,13,阵雨,东南风,3-4级
2016/5/9,20,15,阵雨,东北风,3-4级
2016/5/10,21,13,多云~晴,西北风,3-4级
2016/5/11,27,16,晴,东南风,3-4级
2016/5/12,30,16,多云,东南风,3-4级
2016/5/13,20,15,阴~多云,东北风,3-4级
2016/5/14,26,16,多云~阴,东南风,3-4级
2016/5/15,18,13,中雨~多云,西北风,3-4级
2016/5/16,25,13,晴,东南风,3-4级
2016/5/17,26,14,多云,东南风,3-4级
2016/5/18,25,14,多云,东北风,3-4级
2016/5/19,27,17,多云,东南风,3-4级
2016/5/20,24,17,阴~小到中雨,东北风,3-4级
2016/5/21,19,16,中雨~小雨,东北风,3-4级
2016/5/22,19,15,小雨~阴,西北风,3-4级
2016/5/23,23,17,阴~小雨,西南风,3-4级
2016/5/24,26,17,阴~多云,西南风,3-4级
2016/5/25,29,21,多云~雷阵雨,西南风,3-4级
2016/5/26,26,20,雷阵雨~小到中雨,西南风,3-4级
2016/5/27,23,19,中雨~中到大雨,东北风,3-4级
2016/5/28,21,19,阵雨,东南风,3-4级
2016/5/29,24,17,阴~多云,东南风,3-4级
2016/5/30,27,20,多云~小雨,东南风,3-4级
2016/5/31,29,21,雷阵雨~大到暴雨,东北风,3-4级
2016/6/1,21,16,小雨~阴,东南风,3-4级
2016/6/2,22,18,多云~阵雨,东北风,3-4级
2016/6/3,23,18,阵雨,东北风,3-4级
2016/6/4,22,16,阴~多云,西北风,3-4级
2016/6/5,26,18,多云,东南风,3-4级
2016/6/6,27,19,雷阵雨~中雨,东北风,3-4级
2016/6/7,26,21,雷阵雨,东北风,3-4级
2016/6/8,24,19,阵雨~多云,东北风,3-4级
2016/6/9,25,19,阴,东北风,3-4级
2016/6/10,27,22,多云,东北风,3-4级
2016/6/11,30,23,阴~雷阵雨,西北风,3-4级
2016/6/12,26,20,雷阵雨~多云,东南风,3-4级
2016/6/13,31,22,多云,东南风,3-4级
2016/6/14,33,25,多云~阴,西南风,3-4级
2016/6/15,30,22,雷阵雨~阴,西北风,3-4级
2016/6/16,30,20,多云~晴,西南风,3-4级
2016/6/17,32,23,晴~多云,东南风,3-4级
2016/6/18,33,25,多云~雷阵雨,西南风,3-4级
2016/6/19,32,25,雷阵雨~中雨,东南风,3-4级
2016/6/20,29,25,雷阵雨,西南风,3-4级
2016/6/21,29,24,小到中雨~小雨,东南风,3-4级
2016/6/22,31,25,大到暴雨~阴,西南风,3-4级
2016/6/23,33,27,雷阵雨~阴,西南风,3-4级
2016/6/24,27,21,中雨~小雨,西南风,3-4级
2016/6/25,27,20,阵雨~多云,西南风,3-4级
2016/6/26,29,21,多云~小雨,东南风,3-4级
2016/6/27,22,19,小到中雨~雷阵雨,东北风,3-4级
